lexeme_russian	number_syllables	onset	coda
V-O-W-R-V-O-V-O-V-L	4	V	L
V-O-W-R-V-O-V-O	3	V	O
V-O-W-R-V-O-V-O-O-V	4	V	V
V-O-W-R-V-O-V-O	3	V	O
V-O-W-R-V-O-V-O-O-V	4	V	V
V-O-W-R-V-O-V-N-V-V	5	V	V
V-O-W-R-V-O-V-N-N-V-O-O	4	V	O-O
V-O-W-R-V-O-V-N-N-V-J	4	V	J
V-O-W-V-O-V-O	3	V	O
V-O-W-V-O-V-W-V-O	4	V	O
V-O-O-V-O-V-O	3	V	O
V-O-O-V-O-V-O-O-V	4	V	V
V-O-O-V-O-V-W-V-O	4	V	O
V-O-O-V-O-V-W-V-O-O-V	5	V	V
V-O-O-V-L-V-O-O-V	4	V	V
V-O-O-V-R-V-N-V	4	V	V
V-O-O-V-R	2	V	R
V-O-O-V-O	2	V	O
V-O-O-V-O-V-N-V-V	5	V	V
V-O-O-V-O-V-O	3	V	O
V-O-O-V-O-V-O-O-V	4	V	V
V-O-O-V-O-V-N-V	4	V	V
V-O-O-V-O-V-O-O-V-J	4	V	J
V-O-O-V-L-V-O-O-V	4	V	V
V-O-O-L-V-O-V-O	3	V	O
V-O-O-L-V-O-V-O-O-V	4	V	V
V-O-O-L-V-O-V-W-V-O	4	V	O
V-O-O-L-V-O-V-W-V-O	4	V	O
V-O-O-L-V-O-V-W-V-O-O-V	5	V	V
V-O-O-L-V-O-V-O	3	V	O
V-O-O-L-V-O-V-O	3	V	O
V-O-O-L-V-O-V-O	3	V	O
V-O-O-N-V-N-V-V	4	V	V
V-O-O-N-V-N-N-V-O	3	V	O
V-O-O-N-V-N-N-V-O-V	4	V	V
V-O-O-N-V-N-N-V-O-V-O-O-V-J	5	V	J
V-O-O-N-V-N-N-V-O-V-O-O-W-V	5	V	V
V-O-O-N-V-O	2	V	O
V-O-O-N-V-W-V-O	3	V	O
V-O-O-N-V-O	2	V	O
V-O-O-V-J	2	V	J
V-O-O-V-J-O-O-W-V	3	V	V
V-O-O-V-L-V-W-V-O	4	V	O
V-O-O-V-L-V-W-V	4	V	V
V-O-O-V-L-V-O-V-O	4	V	O
V-O-O-V-L-V-O-V-O-O-V	5	V	V
V-O-O-V-N-V-O	3	V	O
V-O-O-V-R-V-O	3	V	O
V-O-O-V-R-O-V-O	3	V	O
V-O-O-V-R-O-V-O-O-V	4	V	V
V-O-O-V-R-V-O	3	V	O
V-O-O-V-R-V-O-O-V	4	V	V
V-O-O-V-R-V-O	3	V	O
V-O-O-V-O-V-W-L-V-W-V-O	5	V	O
V-O-O-V-O-V-W-L-V-W-V-O-O-V	6	V	V
V-O-O-V-O-V-W-V-O-V-L	5	V	L
V-O-O-V-O-V-W-V-O	4	V	O
V-O-O-V-O-V-W-V-O-O-V	5	V	V
V-O-O-V-O-V-W-O-V	4	V	V
V-O-O-V-O-V-W-L-V-N-V-V	6	V	V
V-O-O-V-O-V-W-L-V-O	4	V	O
V-O-O-V-O-V-W-L-V-O-O-V	5	V	V
V-O-O-R-V-O-V-O	3	V	O
V-O-O-R-V-O-O	2	V	O-O
V-O-O-R-V-O-N-V-O	3	V	O
V-O-O-R-V-O-N-V-O-O-V	4	V	V
V-O-O-R-V-O-N-V-O	3	V	O
V-O-O-R-V-O-N-V-O-O-V	4	V	V
V-O-O-V-O-V-O	3	V	O
V-O-O-V-W-V-O	3	V	O
V-O-O-V-W-N-V	3	V	V
V-O-O-V-V-W-V-O	4	V	O
V-O-O-V-V-W-V-O-O-V	5	V	V
V-O-O-V-L-O-L-V-W-V-O	4	V	O
V-O-O-V-L-V-O-V	4	V	V
V-O-O-V-L-V-O-V	4	V	V
V-O-O-V-L-V-O-V	4	V	V
V-O-O-V-L-V	3	V	V
V-O-O-V-N-V-V	4	V	V
V-O-O-V-N-V-O-V	4	V	V
V-O-O-V-O-V-L	3	V	L
V-O-O-V-O-V-L-O-O-V-J	4	V	J
V-O-O-V-O-V-L-O-O-W-V	4	V	V
V-O-O-V-O	2	V	O
V-O-O-V-W-V-O-V-L-O-O-V-J	5	V	J
V-O-O-V-W-V-O-V-L-O-O-W-V	5	V	V
V-O-O-V-W-V-O-O-V	4	V	V
V-O-O-V-W-O-V	3	V	V
V-O-O-V-W-V-O-N-V-J	4	V	J
V-O-O-V-L-V-V	4	V	V
V-O-O-V-R-O-V-N-N-V-O-O	4	V	O-O
V-O-O-V-R-O-V-N-N-V-J	4	V	J
V-O-O-V-R-O-V-O	3	V	O
V-O-O-V-R-O-V-O-O-V	4	V	V
V-O-O-V-R-O-V-W-V-O	4	V	O
V-O-O-V-R-O-V-W-V-O-O-V	5	V	V
V-O-O-V-R-O-V-O	3	V	O
V-O-O-V-R-O-V-O-O-V	4	V	V
V-O-O-V-R-O-V-W-V-O	4	V	O
V-O-O-V-R-O-V-W-V-O-O-V	5	V	V
V-O-O-V-R-O-O-V	3	V	V
V-O-O-V-R-O-O-V	3	V	V
V-O-O-V-R-V-O	3	V	O
V-O-O-V-R-V-O-O-V	4	V	V
V-O-O-V-V-O	3	V	O
V-O-O-V-V-O	3	V	O
V-O-O-V-V-O-O-V	4	V	V
V-O-O-V-V-O-O-V	4	V	V
V-O-O-V-L-O-V-O	3	V	O
V-O-O-V-L-O-V-O	3	V	O
V-O-O-V-L-O-V-N-V	4	V	V
V-O-O-V-O-N-V-O	3	V	O
V-O-O-R-V-W-L-V	3	V	V
V-O-O-R-V-O-V-O	3	V	O
V-O-O-R-V-O-N-V-O	3	V	O
V-O-O-V-R-V-W-V-O	4	V	O
V-O-O-V-R-V-W-V-O-O-V	5	V	V
V-O-O-V-R-V-W-L-V-W-V-O	5	V	O
V-O-O-V-R-V-W-L-V-W-V-O-O-V	6	V	V
V-O-O-V-O-V-N-V-V	5	V	V
V-O-O-V-O-V-O	3	V	O
V-O-O-V-L-V-W-V-O	4	V	O
V-O-O-V-L-V-O	3	V	O
V-O-O-V-R-V-O	3	V	O
V-O-O-V-R-V-O-O-V	4	V	V
V-O-O-V-W-V-N-N-V-J	4	V	J
V-O-O-V-W-V-O	3	V	O
V-O-O-V-W-V-W-V-O	4	V	O
V-O-O-V-L-O-V-O	3	V	O
V-O-O-V-O	2	V	O
V-O-O-V-O-O-V	3	V	V
V-O-O-V-W-V-N-V-V	5	V	V
V-O-O-V-W-V-O	3	V	O
V-O-O-V-W-V-O-O-V	4	V	V
V-O-O-V-O-V-O	3	V	O
V-O-O-V-O-V-O-O-V	4	V	V
V-O-O-V-O-V-V	4	V	V
V-O-O-V-O	2	V	O
V-O-O-V-O-V	3	V	V
V-O-O-V	2	V	V
V-O-O-V-L-V-N-V-O	4	V	O
V-O-O-V-L-V-N-V-O-O-V	5	V	V
V-O-O-V-O-R-V-W-V-O	4	V	O
V-O-O-V-O-R-V-W-V-O-O-V	5	V	V
V-O-O-V-O-R-V-O	3	V	O
V-O-O-V-O-R-V-O-O-V	4	V	V
V-O-O-V-O-R-V-O-O-V	4	V	V
V-O-O-V-O-R-V-O-O-V	4	V	V
V-O-O-V-O-N-V-O	3	V	O
V-O-L-V-W-L-V-W-V-O	4	V	O
V-O-L-V-O-V-O	3	V	O
V-O-L-V-O-V-O	3	V	O
V-O-L-V-O-V-W-V-O	4	V	O
V-O-L-V-O-V-O	3	V	O
V-O-L-V-O-V-O	3	V	O
V-O-L-V-N-V-W-V-O	4	V	O
V-O-L-V-N-V-W-V-O-O-V	5	V	V
V-O-L-V-J-V-O	3	V	O
V-O-L-V-N-V-W-V-O-O-V	5	V	V
V-O-L-V-N-V-O-O-V	4	V	V
V-O-L-V-O	2	V	O
V-O-L-V-O-V-O	3	V	O
V-O-L-V-O-V-O	3	V	O
V-O-L-V-O-V-O	3	V	O
V-O-L-V-O-V-N-V-V	5	V	V
V-O-L-V-O-V-W-V-O	4	V	O
V-O-L-V-O-V-W-V-O-O-V	5	V	V
V-O-L-V-O-V-N-V-J	4	V	J
V-O-L-V-O-V-O	3	V	O
V-O-L-V-O-V-O-O-V	4	V	V
V-O-L-V-W-V-O	3	V	O
V-O-L-V-W-V-O-O-V	4	V	V
V-O-L-V-O-V-O	3	V	O
V-O-L-V-O-V-W-V-O	4	V	O
V-O-L-V-N-V-W-V-O	4	V	O
V-O-L-V-O	2	V	O
V-O-L-V-O-O-V	3	V	V
V-O-L-V-O-V-O	3	V	O
V-O-L-V-O-V-O-O-W-V	4	V	V
V-O-L-V-O-V-O-O-W-V-W-V-O	5	V	O
V-O-L-V-O-N-V-J	3	V	J
V-O-L-V-V-N-V-V	5	V	V
V-O-L-V-W-V-O	3	V	O
V-O-L-V-W-O-V-O-O-V	4	V	V
V-O-L-V-W-O-V-O-O-V	4	V	V
V-O-L-V-O-V-N-V-V	5	V	V
V-O-L-V-O-V-N-V	4	V	V
V-O-L-V-O-V-O	3	V	O
V-O-L-V-O-N-V-O-V	4	V	V
V-O-L-V-O-N-V	3	V	V
V-O-L-V-N	2	V	N
V-O-L-V-N-V-N-N-V-O-O	4	V	O-O
V-O-L-V-N-V-N-N-V-J	4	V	J
V-O-L-V-N-V-O	3	V	O
V-O-L-V-N-V-O-O-V	4	V	V
V-O-L-V-N-V-O	3	V	O
V-O-L-V-O-N-V-O-V-O	4	V	O
V-O-L-V-O-N-V-O-V-O-O-V	5	V	V
V-O-L-V-O-V-O	3	V	O
V-O-L-V-O-V-O-V-L	4	V	L
V-O-L-V-O-V-O	3	V	O
V-O-L-V-O-V-O-O-V	4	V	V
V-O-L-V-O-V-N-V-V	5	V	V
V-O-L-V-O-V-N-V	4	V	V
V-O-L-V-O-V-O-O-V-J	4	V	J
V-O-L-V-O-V-O	3	V	O
V-O-L-V-O-V-O-O-V	4	V	V
V-O-L-V-O-V-O	3	V	O
V-O-L-V-O-L-V-N-N-V-J	4	V	J
V-O-N-V-O-V-O	3	V	O
V-O-N-V-O-V-O-O-V	4	V	V
V-O-N-V-O-V-W-V-O	4	V	O
V-O-N-V-O-V-W-V-O-O-V	5	V	V
V-O-N-V-J-L-V-W-O-O-V-J	4	V	J
V-O-N-V-L-V-W-V-O	4	V	O
V-O-N-V-L-V-W-V-W-V-O	5	V	O
V-O-N-V-L-V-O-V-O-V-O-O-W-V-W-V-O-O-V	8	V	V
V-O-N-V-L-V-W-V-O	4	V	O
V-O-N-V-L-V-W-V-O-O-V	5	V	V
V-O-N-V-N-V-R-N-V-O-V-O-O-V	6	V	V
V-O-N-V-R-V-O	3	V	O
V-O-N-V-R-V-O-O-V	4	V	V
V-O-N-V-R-V-W-V-O	4	V	O
V-O-N-V-R-V-W-V-O-O-V	5	V	V
V-O-N-V-O-L-V-W-V-O	4	V	O
V-O-N-V-O-L-V-W-V-O-O-V	5	V	V
V-O-N-V-O-L-V-O	3	V	O
V-O-N-V-O-L-V-O-O-V	4	V	V
V-O-N-V-O-V-R-V-O	4	V	O
V-O-N-V-O-V-W-V-O	4	V	O
V-O-N-V-O-V-W-V-O-O-V	5	V	V
V-O-N-V-O-V-W-V-O	4	V	O
V-O-N-V-O-V-W-V-O-O-V	5	V	V
V-O-N-V-J-V-O	3	V	O
V-O-N-V-J-V-O-O-V	4	V	V
V-O-N-V-L-V-O	3	V	O
V-O-N-V-L-V-O-O-V	4	V	V
V-O-N-V-L-O-V-N-V-V	5	V	V
V-O-N-V-L-O-V-O	3	V	O
V-O-N-V-L-O-V-O	3	V	O
V-O-N-V-L-O-V-O-O-V	4	V	V
V-O-N-V-L-O-V-N-V-V	5	V	V
V-O-N-V-L-O-V-O-V-L	4	V	L
V-O-N-V-L-O-V-O	3	V	O
V-O-N-V-L-O-V-O-O-V	4	V	V
V-O-N-V-N-V	3	V	V
V-O-N-V-N-V-N-V-V	5	V	V
V-O-N-V-N-V-O	3	V	O
V-O-N-V-N-V-O	3	V	O
V-O-N-V-N-V-O-O-V	4	V	V
V-O-N-V-N-N-V-O	3	V	O
V-O-N-V-N-N-V-O-V	4	V	V
V-O-N-V-N-N-V-O-V-O-O-V-J	5	V	J
V-O-N-V-N-N-V-O-V-O-O-W-V	5	V	V
V-O-N-V-N-O-V-W-V-O-O	4	V	O-O
V-O-N-V-N-O-V-W-V-J	4	V	J
V-O-N-V-N-O-V-O	3	V	O
V-O-N-V-N-O-V-O-V	4	V	V
V-O-N-V-N-V-J-V-N-V-O-O	5	V	O-O
V-O-N-V-N-V-J-V-N-V-J	5	V	J
V-O-N-V-N-V-O	3	V	O
V-O-N-V-N-V-O	3	V	O
V-O-N-V-N-V-O-O-V	4	V	V
V-O-N-V-R-V-N-V-V	5	V	V
V-O-N-V-R-O-N-V-O	3	V	O
V-O-N-V-R-V-N-V-O-O	4	V	O-O
V-O-N-V-R-V-N-V-J	4	V	J
V-O-N-V-R-V-O-V-L	4	V	L
V-O-N-V-R-V-O-V-L	4	V	L
V-O-N-V-R-V-O-V-L-N-V-J	5	V	J
V-O-N-V-R-V-O	3	V	O
V-O-N-V-R-V-O	3	V	O
V-O-N-V-R-V-O	3	V	O
V-O-N-V-R-V-O-O-V	4	V	V
V-O-N-V-O-V-N-V-O-O-V	5	V	V
V-O-N-V-N-V-O	3	V	O
V-O-N-V-N-V-O-O-V	4	V	V
V-O-N-V-O-O-V-N-V-V	5	V	V
V-O-N-V-O-O-V-N-N-V-O-O	4	V	O-O
V-O-N-V-O-O-V-N-N-V-J	4	V	J
V-O-N-V-O-V-O	3	V	O
V-O-N-V-O-N-V-O	3	V	O
V-O-N-V-L-V-O-V-W-V-O	5	V	O
V-O-N-V-L-V-O-V-W-V-O-O-V	6	V	V
V-O-N-V-L-V-O	3	V	O
V-O-N-V-L-V-O-V-O	4	V	O
V-O-N-V-L-V-O-V-O-O-V	5	V	V
V-O-N-V-L-V-O	3	V	O
V-O-N-V-L-V-O-O-V	4	V	V
V-O-N-V-R	2	V	R
V-O-N-V-R-O-V-W-V-O	4	V	O
V-O-N-V-R-V-N-N-V-O-O	4	V	O-O
V-O-N-V-R-V-O	3	V	O
V-O-N-V-R-V-O-O-V	4	V	V
V-O-N-V-R-V-O-V-O	4	V	O
V-O-N-V-R-V-O	3	V	O
V-O-N-V-R-V-O	3	V	O
V-O-N-V-R-O-V-N-V-O	4	V	O
V-O-N-V-R-O-V-N-V-O-O-V	5	V	V
V-O-N-V-O-V-O	3	V	O
V-O-N-V-O-V-O-O-V	4	V	V
V-O-N-V-O-V-L-V-W-V-O	5	V	O
V-O-N-V-O-V-L-V-W-V-O-O-V	6	V	V
V-O-N-V-O-V-L-V-O	4	V	O
V-O-N-V-O-V-L-V-O-O-V	5	V	V
V-O-N-V-O-V-O	3	V	O
V-O-N-V-O-V-O-O-V	4	V	V
V-O-N-V-O-V-N-N-V-O-V-O-O-V	6	V	V
V-O-N-V-O-L-V-W-V-O	4	V	O
V-O-N-V-O-L-V-W-V-O-O-V	5	V	V
V-O-N-V-O-L-V-O	3	V	O
V-O-N-V-O-L-V-O-O-V	4	V	V
V-O-N-V-O-V-L-V-W-V-O	5	V	O
V-O-N-V-O-V-L-V-W-V-O-O-V	6	V	V
V-O-N-V-O-V-L-V-O	4	V	O
V-O-N-V-O-V-L-V-O-O-V	5	V	V
V-O-N-V-O-V-O	3	V	O
V-O-N-V-O-V-O-O-V	4	V	V
V-O-N-V-O-V-N-N-V-J	4	V	J
V-O-N-V-O-V-W-V-O	4	V	O
V-O-N-V-O-V-W-V-O-O-V	5	V	V
V-O-N-V-O-V-O	3	V	O
V-O-N-V-O-V-O-O-V	4	V	V
V-O-N-V-W-V-O-V-L-O-O-V-J	5	V	J
V-O-N-V-W-V-O-V-L-O-O-W-V	5	V	V
V-O-N-V-W-V-O-O-V	4	V	V
V-O-N-V-O-O-V-O	3	V	O
V-O-N-V-O-O-V-O-O-V	4	V	V
V-O-N-V-O-O-V-W-V-O	4	V	O
V-O-N-V-O-O-V-W-V-O-O-V	5	V	V
V-O-N-V-L-V-W-V-O	4	V	O
V-O-N-V-L-V-W-V-O-O-V	5	V	V
V-O-N-V-L-V-O	3	V	O
V-O-N-V-L-V-O-O-V	4	V	V
V-O-N-V-O-L-V-O	3	V	O
V-O-N-V-O-V-R-V-O	4	V	O
V-O-N-V-O-V-R-V-O-O-V	5	V	V
V-O-N-V-O-L-V-N-V-V	5	V	V
V-O-N-V-O-L-V-O	3	V	O
V-O-N-V-O-V-J	3	V	J
V-O-N-V-O	2	V	O
V-O-N-V-O-O-V	3	V	V
V-O-N-V-N-O-V	3	V	V
V-O-N-V-N-V-O-N-V-J	4	V	J
V-O-N-V-O-V-L-V-W-V-N-V-V	7	V	V
V-O-N-V-O-V-L-V-W-V-O	5	V	O
V-O-N-V-O-V-L-V	4	V	V
V-O-N-V-O-V-L-N-V-J	4	V	J
V-O-N-V-O-V-W-V-J-V-N-V-O-O	6	V	O-O
V-O-N-V-O-V-W-V-N-V-V	6	V	V
V-O-N-V-O-V-W-V-O	4	V	O
V-O-N-V-O-V-W-V-O-O-V	5	V	V
V-O-N-V-O-V-N-N-V-O-O	4	V	O-O
V-O-N-V-O-V-N-N-V-J	4	V	J
V-O-N-V-O-V-W-V-O	4	V	O
V-O-N-V-O-V-W-V-O-O-V	5	V	V
V-O-N-V-O-V-O	3	V	O
V-O-N-V-O-V-O-O-V	4	V	V
V-O-N-V-N-V-O-V-O	4	V	O
V-O-N-V-N-V-O-V-N-V-V	6	V	V
V-O-N-V-N-V-O-V-N-N-V-J	5	V	J
V-O-N-V-N-V-O-V-N-N-V-J	5	V	J
V-O-N-V-N-V-O	3	V	O
V-O-N-V-R-W-N-V-O-V-O-O-V	5	V	V
V-O-N-V-O-V-O	3	V	O
V-O-N-V-O-V-O-O-V	4	V	V
V-O-N-V-O-V	3	V	V
V-O-N-V-O-V-W-V-O	4	V	O
V-O-N-V-O-V-W-V-O-O-V	5	V	V
V-O-N-V-O-O-V-O-V-O	4	V	O
V-O-N-V-O-O-V-O-V-O-O-V	5	V	V
V-O-N-V-O-O-V-O-V-N-V-V	6	V	V
V-O-N-V-O-O-V-O-V-O	4	V	O
V-O-N-V-O-O-V-O-V-O-O-V	5	V	V
V-O-N-V-O-V-O	3	V	O
V-O-N-V-R-V-W-V-O-O-V	5	V	V
V-O-N-V-O	2	V	O
V-O-N-V-O-V-O	3	V	O
V-O-N-V-O-V-O-O-V	4	V	V
V-O-N-V-O-O-V	3	V	V
V-O-N-V-O-V-O-O-V-J-O-V-J	5	V	J
V-O-N-V-O-V-V-O-O-V-J-O-V-W-V-O-O	7	V	O-O
V-O-N-V-O-V-V-O-O-V-J-O-V-W-V-J	7	V	J
V-O-N-V-O-V-N-N-V-O-O	4	V	O-O
V-O-N-V-O-V-N-N-V-J	4	V	J
V-O-N-V-R-V-N-V-V	5	V	V
V-O-N-V-R-V-N-N-V-O-O	4	V	O-O
V-O-N-V-R-V-N-N-V-J	4	V	J
V-O-N-V-R-V-O-V-L-N-V-O-O	5	V	O-O
V-O-N-V-R-V-O-V-L-N-V-J	5	V	J
V-O-N-V-R-V-O	3	V	O
V-O-N-V-R-V-O-O-V	4	V	V
V-O-N-V-R-V-O	3	V	O
V-O-N-V-R-V-O-O-V	4	V	V
V-O-N-V-O-R-V	3	V	V
V-O-N-V-O-R-V	3	V	V
V-O-N-V-W-V-O	3	V	O
V-O-N-V-R-V-O	3	V	O
V-O-N-V-O	2	V	O
V-O-V	2	V	V
V-O-V-O-V-O-V	4	V	V
V-O-V-O-V-R-V	4	V	V
V-O-V-O-V-R-V-O-V-O-O-V-J	6	V	J
V-O-V-O-V-R-N-V-J	4	V	J
V-O-V-O-V-O-V	4	V	V
V-O-V-O-V-O-V-O	4	V	O
V-O-V-O-V-O-V-O-O-V	5	V	V
V-O-V-O-V-L-V-V	5	V	V
V-O-V-O-V-L-V-W-V-O	5	V	O
V-O-V-O-V-L-N-V-J	4	V	J
V-O-V-O-L-V-O-V-O	4	V	O
V-O-V-O-L-V-O-V-N-V-V	6	V	V
V-O-V-O-L-V-O-V-O-V-L	5	V	L
V-O-V-O-L-V-O-V-O-V-L-N-V-J	6	V	J
V-O-V-O-L-V-O-V-O	4	V	O
V-O-V-O-R-V-O-V-O	4	V	O
V-O-V-O-R-V-O-V-O-O-V	5	V	V
V-O-V-O-R-V-O-V-N-V-V	6	V	V
V-O-V-O-R-V-O-V-O-V-L	5	V	L
V-O-V-O-R-V-O-V-O-V-L-N-V-O-O	6	V	O-O
V-O-V-O-R-V-O-V-O-V-L-N-V-J	6	V	J
V-O-V-O-R-V-O-V-O	4	V	O
V-O-V-O-R-V-O-V-O-O-V	5	V	V
V-O-V-O-R-V-O-O-V	4	V	V
V-O-V-O-R-V-O-V-O-V-L	5	V	L
V-O-V-O-R-V-O-V-O-V-L-N-V-O-V	7	V	V
V-O-V-O-R-V-O-V-O-V-L-N-V-O-O	6	V	O-O
V-O-V-O-R-V-O-V-O-V-L-N-V-J	6	V	J
V-O-V-O-R-V-O-V-O-V-L-O-O-V-J	6	V	J
V-O-V-O-R-V-O-V-O-V-L-O-O-W-V	6	V	V
V-O-V-O-R-V-O-V-O	4	V	O
V-O-V-O-R-V-O-V-N-V-V	6	V	V
V-O-V-W-R-V-O-O-V	4	V	V
V-O-V-O-V-N-V-V	5	V	V
V-O-V-O-L-V-O-O-V	4	V	V
V-O-V-O-N-V-O-V-O-O	4	V	O-O
V-O-V-O-N-V-O-V-J	4	V	J
V-O-V-O-N-V-O	3	V	O
V-O-V-O-N-V-O-O-V	4	V	V
V-O-V-O-V-N-V	4	V	V
V-O-V-O-V-N-V-L-N-V-J	5	V	J
V-O-V-O-R-V-O	3	V	O
V-O-V-O-R-V-O-V-O-V-O-O-V-J	6	V	J
V-O-V-O-R-V-O-V-V	5	V	V
V-O-V-O-V-N-V-N-V-V	6	V	V
V-O-V-O-R-V-N-N-V-J	4	V	J
V-O-V-O-R-V-O	3	V	O
V-O-V-O-R-V-O-O-V	4	V	V
V-O-V-O-V-N-V	4	V	V
V-O-V-O-L-V-N-V	4	V	V
V-O-V-O-L-V-N-V-L	4	V	L
V-O-V-O-L-V-N-V-L-N-V-J	5	V	J
V-O-V-O-V-L-V-N	4	V	N
V-O-V-L-O-V-O-O-V	4	V	V
V-O-V-L-V-N-V-V	5	V	V
V-O-V-L-V-R-V-W-V-N-V-V	7	V	V
V-O-V-L-V-R-V-W-V-N-N-V-O-O	6	V	O-O
V-O-V-L-V-R-V-W-V-N-N-V-J	6	V	J
V-O-V-L-V-R-V-W-V-O	5	V	O
V-O-V-L-V-R-V-W-V-O-O-V	6	V	V
V-O-V-L-V-R-V-W-O-V	5	V	V
V-O-V-L-V-R-V-W-V-O-N-V-J	6	V	J
V-O-V-L-V-R-V-W-O-V-O	5	V	O
V-O-V-L-V-R-V-W-O-V-O-V	6	V	V
V-O-V-L-V-O-V-R	4	V	R
V-O-V-L-V-O-V-R-N-V-J	5	V	J
V-O-V-L-V-O-V-V-N-V-O-N	6	V	O-N
V-O-V-L-V-O-V-V-N-V-O-O	6	V	O-O
V-O-V-L-V-O-V-V-N-V-O-O-O-O-V-J	7	V	J
V-O-V-L-V-O-V-V-N-N-V-J	6	V	J
V-O-V-L-V-O-V-V	5	V	V
V-O-V-N-V-R	3	V	R
V-O-V-N-V-R-V-O-V-O-V-V	7	V	V
V-O-V-N-V-R-V-V	5	V	V
V-O-V-N-V-O-R-V-O-V-O-O-V-J	6	V	J
V-O-V-N-V-O-R-V-V	5	V	V
V-O-V-N-V-R-O-V-O-N	4	V	O-N
V-O-V-N-V-R-O-N-V-J	4	V	J
V-O-V-O-R-V-N	3	V	N
V-O-V-R-W-V-O	3	V	O
V-O-V-R-W-V-O-O-V	4	V	V
V-O-V-O-V-J-O-N-V-O-V-O-O-V-J	6	V	J
V-O-V-O-O-L-V-O	3	V	O
V-O-V-O-O-R-V-O	3	V	O
V-O-V-O-O-R-V-O	3	V	O
V-O-V-O-O-V-O-V-V	5	V	V
V-O-V-O-V-R-V	4	V	V
V-O-V-O-V-R-V-O-V-O-O-V-J	6	V	J
V-O-V-O-V-R-N-V	4	V	V
V-O-V-O-V-R-N-V-O-V-O-O-V-J	6	V	J
V-O-V-O-O-V-O	3	V	O
V-O-V-O-O-V-O	3	V	O
V-O-V-O-V-N-V-O-V-O-O-V-J	6	V	J
V-O-V-O-V-N-V-V	5	V	V
V-O-V-O-V-O	3	V	O
V-O-V-O-V-O-N-V-J	4	V	J
V-O-V-O-R-V-O-V-V	5	V	V
V-O-V-O-R-V-O-N-V-J	4	V	J
V-O-V-O-V-N-V-N-V	5	V	V
V-O-V-O-R-V-N-V-O-V-O-V-O-O-V-J	7	V	J
V-O-V-O-R-V-N-V-O-N	4	V	O-N
V-O-V-O-R-V-N-N-V-O-O	4	V	O-O
V-O-V-O-R-V-N-N-V-J	4	V	J
V-O-V-O-R-V-N-V-V	5	V	V
V-O-V-O-R-V-N-N-V-O-O	4	V	O-O
V-O-V-O-R-V-N-N-V-J	4	V	J
V-O-V-O-R-V-N-N-V-J	4	V	J
V-O-V-O-R-V-O	3	V	O
V-O-V-O-R-V-O-O-V	4	V	V
V-O-V-O-R-V-O	3	V	O
V-O-V-O-R-V-O-O-V	4	V	V
V-O-O-V-O	2	V	O
V-O-R-V-O-V-L-V-O-O-O-W-V-W-V-O-O-V	7	V	V
V-O-R-V-O-W-R-V-O-N-V-O-V-O-O-V	6	V	V
V-O-R-V-O-V-O	3	V	O
V-O-R-V-O-O-V-W-V-J	4	V	J
V-O-R-V-V-L-V-O	4	V	O
V-O-R-V-V-L	3	V	L
V-O-R-V-V-L-O-O-V-J	4	V	J
V-O-R-V-V-L-O-V-N-V-N	5	V	N
V-O-R-V-V-L-O-V-N-O-V	5	V	V
V-O-R-V-V-L-O-V-N-O-O-V-J	5	V	J
V-O-R-V-N-V-O	3	V	O
V-O-R-V-N-V-O-O-V	4	V	V
V-O-R-V-O-O-V-O-V-W-V-O	5	V	O
V-O-R-V-O-O-V-O-V-W-V-O-O-V	6	V	V
V-O-R-V-O-O-V	3	V	V
V-O-R-V-O-V-N-N-V-O-O	4	V	O-O
V-O-R-V-O-V-N-N-V-J	4	V	J
V-O-R-V-O-V-O	3	V	O
V-O-R-V-O-V-O-O-V	4	V	V
V-O-R-V-O-V-W-V-O	4	V	O
V-O-R-V-O-V-W-V-O-O-V	5	V	V
V-O-R-V-O-V-O	3	V	O
V-O-R-V-O-V-N-V-V	5	V	V
V-O-R-V-O	2	V	O
V-O-R-V-O-V-O-V-O	4	V	O
V-O-R-V-O-V-O-V-O-O-V	5	V	V
V-O-R-V-O-V-O-V-W-V-O	5	V	O
V-O-R-V-O-V-O-V-W-V-O-O-V	6	V	V
V-O-R-V-N-V-O	3	V	O
V-O-R-V-O-V-W-V-O	4	V	O
V-O-R-V-O-V-W-V-O-O-V	5	V	V
V-O-R-V-O-V-W-V-W-V-O	5	V	O
V-O-R-V-O-V-W-V-W-V-O-O-V	6	V	V
V-O-R-V-O-V-O	3	V	O
V-O-R-V-O-V-O	3	V	O
V-O-R-V-O-O-V-W-V-O	4	V	O
V-O-R-V-O-V-O	3	V	O
V-O-R-V-W-V-O	3	V	O
V-O-R-V-W-V-O	3	V	O
V-O-R-V-W-V-O-O-V	4	V	V
V-O-R-V-O-V-O	3	V	O
V-O-R-V-O-N-V-O	3	V	O
V-O-R-V-O-O-V-O	3	V	O
V-O-R-V-O-O-V-O	3	V	O
V-O-R-V-O	2	V	O
V-O-R-V-O-N-V-J	3	V	J
V-O-V-O-R-V-O	3	V	O
V-O-V-W-V-R	3	V	R
V-O-V-W-V-R-O-V	4	V	V
V-O-V-W-V-R-O-O-V-J	4	V	J
V-O-V-W-V-R-O-O-W-V	4	V	V
V-O-V-W-V-R-O-O-W-V-W-V-O	5	V	O
V-O-V-W-V-O-V-N-V-V	6	V	V
V-O-V-W-V-O-V-W-V-O	5	V	O
